nr_documento_contratado,ano,cep_estab,cnae_2_0_classe,cnae_2_0_classe_2,cnpj_cei,natureza_juridica,porte_estabelecimento,qtd_estoque_aprendiz_ativo,qtd_estoque_clt_defic_ativo,qtd_estoque_estat_defic_ativo,qtd_portador_defic,qtd_vinculos_ativos,qtd_vinculos_clt,qtd_vinculos_estatutarios,razao_social,tamanho_estabelecimento,uf
10553099000102,2017,95.650.000,46338,Comércio Atacadista,10.553.099/0001-02,Cooperativa,Outros,0,0,0,0,0,0,0,COOPERATIVA PROD AGRICOLAS IGREJINHA COOPAI        ,0 Empregado,43 - Rio Grande do S
07635210000103,2017,95.580.000,46231,Comércio Atacadista,07.635.210/0001-03,Cooperativa,Outros,0,0,0,0,2,2,0,COOPERATIVA REG PRODUTORES ECOLOGISTAS LIT NORTE RS,De 1 a 4,43 - Rio Grande do S
09660975000110,2017,95.800.000,94120,Atividades de Organi,09.660.975/0001-10,Cooperativa,Outros,0,0,0,0,0,0,0,COOP DOS PRODUTORES VENANCIO AIRES COOP            ,0 Empregado,43 - Rio Grande do S
10568281000137,2017,92.480.000,47890,Comércio Varejista d,10.568.281/0001-37,Cooperativa,Outros,0,0,0,0,8,8,0,COOPERATIVA DOS TRABALHADORES DA REFORMA AGRARIA TER,De 5 a 9,43 - Rio Grande do S
00861664000145,2017,92.480.000,10121,"Abate de Suínos, Ave",00.861.664/0001-45,Cooperativa,Outros,0,0,0,0,3,3,0,COOPERATIVA DE PRODUCAO AGROPECUARIA NOVA SANTA RITA,De 1 a 4,43 - Rio Grande do S
89774160000525,2017,95.893.000,10121,"Abate de Suínos, Ave",89.774.160/0005-25,Cooperativa,Outros,42,47,0,47,898,898,0,COOPERATIVA LANGUIRU LTDA                          ,De 500 a 999,43 - Rio Grande do S
21308597000106,2017,98.910.000,47245,Comércio Varejista d,21.308.597/0001-06,Cooperativa,Outros,0,0,0,0,0,0,0,COOPERNOROESTECOOP DE AGRIC FAMILI DO NOROESTE GAUCH,0 Empregado,43 - Rio Grande do S
89774160000606,2017,95.890.000,10520,Fabricação de Laticí,89.774.160/0006-06,Cooperativa,Outros,8,8,0,8,199,199,0,COOPERATIVA LANGUIRU LTDA                          ,De 100 a 249,43 - Rio Grande do S
91022632000101,2017,97.250.000,46222,Comércio Atacadista,91.022.632/0001-01,Cooperativa,Outros,0,0,0,0,112,112,0,COOP AGRIC MISTA NOVA PALMA LTDA                   ,De 100 a 249,43 - Rio Grande do S
88587357000169,2017,95.185.000,82113,Serviços Combinados,88.587.357/0001-69,Cooperativa,Outros,4,3,0,3,102,102,0,COOPERATIVA SANTA CLARA LTDA                       ,De 100 a 249,43 - Rio Grande do S
12267460000160,2017,99.900.000,46338,Comércio Atacadista,12.267.460/0001-60,Cooperativa,Outros,0,0,0,0,0,0,0,COOPERATIVA REGIONAL DA AGRICULTURA FAMILIAR DE GETU,0 Empregado,43 - Rio Grande do S
91360420000134,2017,95.785.000,10121,"Abate de Suínos, Ave",91.360.420/0001-34,Cooperativa,Outros,0,14,0,14,397,397,0,COOP SUINOCULTORES DO CAI SUPERIOR LTDA            ,De 250 a 499,43 - Rio Grande do S
89774160001335,2017,95.740.000,10121,"Abate de Suínos, Ave",89.774.160/0013-35,Cooperativa,Outros,24,27,0,27,745,745,0,COOPERATIVA LANGUIRU LTDA                          ,De 500 a 999,43 - Rio Grande do S
08546254000111,2017,97.015.001,46338,Comércio Atacadista,08.546.254/0001-11,Cooperativa,Outros,0,0,0,0,5,5,0,COOP PROD E DESENV RURAL DOS AGRIC FAMIL           ,De 5 a 9,43 - Rio Grande do S
12309267000144,2017,95.923.000,1326,Cultivo de Uva,12.309.267/0001-44,Sociedade Qt Ltda,Pequeno Porte,0,0,0,0,0,0,0,VINICOLA PALUDO LTDA EPP                           ,0 Empregado,43 - Rio Grande do S
21853581000184,2017,95.748.000,10139,Fabricação de Produt,21.853.581/0001-84,Firma Mercantil Indi,Microempresa,0,0,0,0,14,14,0,HERBON AGROINDUSTRIA LTDA   EPP                   ,De 10 a 19,43 - Rio Grande do S
73273526000119,2017,99.750.000,46311,Comércio Atacadista,73.273.526/0001-19,Cooperativa,Outros,1,0,0,0,18,18,0,COOP DE PEQUENOS AGROPECUARISTAS DE ERVAL GRANDE LTD,De 10 a 19,43 - Rio Grande do S
88587357000240,2017,95.185.000,10520,Fabricação de Laticí,88.587.357/0002-40,Cooperativa,Outros,19,24,0,24,423,423,0,COOPERATIVA SANTA CLARA LTDA                       ,De 250 a 499,43 - Rio Grande do S
88587357006604,2017,95.185.000,46311,Comércio Atacadista,88.587.357/0066-04,Cooperativa,Outros,2,1,0,1,29,29,0,COOPERATIVA SANTA CLARA LTDA                       ,De 20 a 49,43 - Rio Grande do S
12109796000102,2017,95.600.000,82300,Atividades de Organi,12.109.796/0001-02,Outras Organizações,Microempresa,0,0,0,0,0,0,0,ATAF                                               ,0 Empregado,43 - Rio Grande do S
04901469000152,2017,96.810.090,47296,Comércio Varejista d,04.901.469/0001-52,Cooperativa,Outros,0,0,0,0,2,2,0,"ECOVALE, COOPERATIVA REGIONAL DE AGRICULTORES FAMILI",De 1 a 4,43 - Rio Grande do S
15388008000144,2017,99.709.370,94308,Atividades de Associ,15.388.008/0001-44,Cooperativa,Outros,0,0,0,0,7,7,0,CECAFES COOPERATIVA CENTRAL DE COMERCIALIZACAO DA AG,De 5 a 9,43 - Rio Grande do S
13546912000105,2017,95.920.000,2101,Produção Florestal -,13.546.912/0001-05,Cooperativa,Outros,0,0,0,0,0,0,0,COOP LEOBOQUEIRENSE DE AGRICULTORES FAMILIARES     ,0 Empregado,43 - Rio Grande do S
89774160000363,,,,,,,,,,,,,,,,,
09522322000175,2017,99.470.000,47229,Comércio Varejista d,09.522.322/0001-75,Sociedade Qt Ltda,Microempresa,0,0,0,0,0,0,0,VILSON SAVADINSCKY E CIA LTDA - ME                 ,0 Empregado,43 - Rio Grande do S
11524136000117,2017,99.470.000,10139,Fabricação de Produt,11.524.136/0001-17,Firma Mercantil Indi,Microempresa,0,0,0,0,0,0,0,SOLANGE AULER BINI                                 ,0 Empregado,43 - Rio Grande do S
09399257000132,2017,99.190.000,49302,Transporte Rodoviári,09.399.257/0001-32,Cooperativa,Outros,0,0,0,0,10,10,0,COOP AGROP E LATICINIOS PONTAO LTDA              ,De 10 a 19,43 - Rio Grande do S
10696943000235,2017,98.528.000,47121,Comércio Varejista d,10.696.943/0002-35,Cooperativa,Outros,0,0,0,0,6,6,0,COOPERATIVA MISTA YUCUMA                           ,De 5 a 9,43 - Rio Grande do S
07592085000193,2017,97.970.000,47113,Comércio Varejista d,07.592.085/0001-93,Cooperativa,Outros,0,0,0,0,7,7,0,COOP DE PROD E COM DA AGRIC FAM DE ROQUE GONZALES LT,De 5 a 9,43 - Rio Grande do S
09579969000133,2017,95.920.000,10112,"Abate de Reses, Exce",09.579.969/0001-33,Sociedade Qt Ltda,Microempresa,0,0,0,0,1,1,0,ANGELO BERGONCI & CIA LTDA ME                      ,De 1 a 4,43 - Rio Grande do S
08835220000147,2017,98.465.000,11127,Fabricação de Vinho,08.835.220/0001-47,Cooperativa,Outros,0,0,0,0,6,6,0,COOPERATIVA DE PRODUTORES DE UVA E DERIVADOS DE AMET,De 5 a 9,43 - Rio Grande do S
11329990000122,2017,94.770.970,46231,Comércio Atacadista,11.329.990/0001-22,Cooperativa,Outros,0,0,0,0,0,0,0,COOP DOS PROD ORGANICOS DE REF AGRARIA             ,0 Empregado,43 - Rio Grande do S
89774160000797,,,,,,,,,,,,,,,,,
10917361000150,2017,95.520.000,1610,Atividades de Apoio,10.917.361/0001-50,Cooperativa,Outros,0,0,0,0,1,1,0,COOP DE CONS E COM DOS PEQ PROD RURAIS             ,De 1 a 4,43 - Rio Grande do S
05397605000181,2017,99.840.000,1164,Cultivo de Oleaginos,05.397.605/0001-81,Cooperativa,Outros,0,0,0,0,2,2,0,COOP DE PROD ALIM ORG ECON SOLIDARIA LT            ,De 1 a 4,43 - Rio Grande do S
15072633000182,2017,93.490.000,46338,Comércio Atacadista,15.072.633/0001-82,Cooperativa,Outros,0,0,0,0,0,0,0,COOP DE AGRICULTURA FAMILIAR DE LOMBA GRANDE       ,0 Empregado,43 - Rio Grande do S
09135116000102,2017,99.640.000,46320,Comércio Atacadista,09.135.116/0001-02,Cooperativa,Outros,0,0,0,0,0,0,0,COOP MICRO REGIONAL AGRIC FAM BENJAMIN SAO VALENTIM,0 Empregado,43 - Rio Grande do S
04636068000201,2017,98.500.000,47296,Comércio Varejista d,04.636.068/0002-01,Cooperativa,Outros,0,0,0,0,2,2,0,COOPERATIVA AGROPECUARIA DOS AGRICULTORES FAMILIARES,De 1 a 4,43 - Rio Grande do S
10763636000149,2017,97.980.000,47121,Comércio Varejista d,10.763.636/0001-49,Cooperativa,Outros,0,0,0,0,0,0,0,COOP DA AGRIC E AGROIND FAM DE SAO PAULO DAS MISSOES,0 Empregado,43 - Rio Grande do S
88587357003770,2017,92.420.360,46311,Comércio Atacadista,88.587.357/0037-70,Cooperativa,Outros,3,2,0,2,101,101,0,COOPERATIVA SANTA CLARA LTDA                       ,De 100 a 249,43 - Rio Grande do S
09099485000197,2017,99.560.000,1164,Cultivo de Oleaginos,09.099.485/0001-97,Cooperativa,Outros,0,0,0,0,0,0,0,COOPERATIVA DA PRODUCAO  DOS AGRICULTORES FAMILIARES,0 Empregado,43 - Rio Grande do S
07111971000158,2017,98.640.000,46338,Comércio Atacadista,07.111.971/0001-58,Cooperativa,Outros,0,0,0,0,2,2,0,COOPERATIVA DAS ATIVIDADES AGROINDUSTRIA           ,De 1 a 4,43 - Rio Grande do S
07820110000149,2017,98.985.000,46311,Comércio Atacadista,07.820.110/0001-49,Cooperativa,Outros,0,0,0,0,0,0,0,COOPERATIVA DOS AGRICULTORES DE PORTO VERA CRUZ LTDA,0 Empregado,43 - Rio Grande do S
01112137000109,2017,92.990.000,46231,Comércio Atacadista,01.112.137/0001-09,Cooperativa,Outros,0,0,0,0,12,12,0,COOPERATIVA DOS TRABALHADORES ASSENTADOS DA REGIAO P,De 10 a 19,43 - Rio Grande do S
14782568000116,2017,92.850.000,11224,Fabricação de Refrig,14.782.568/0001-16,Cooperativa,Outros,0,0,0,0,0,0,0,COOPERATIVA AGROPECUARIA DE SERTAO SANTA           ,0 Empregado,43 - Rio Grande do S
05996123000148,,,,,,,,,,,,,,,,,
10348129000149,2017,98.930.000,11127,Fabricação de Vinho,10.348.129/0001-49,Cooperativa,Pequeno Porte,0,0,0,0,0,0,0,COOP VINHO FRONTEIRA NOROESTE E ECONOMIA SOL COOPERV,0 Empregado,43 - Rio Grande do S
88612486000160,2017,95.270.000,10333,Fabricação de Sucos,88.612.486/0001-60,Sociedade Qt Ltda,Outros,13,0,0,0,210,210,0,COOP AGROINDUSTRIAL NOVA ALIANCA LTDA             ,De 100 a 249,43 - Rio Grande do S
92773142000100,2017,90.150.053,88006,Serviços de Assistên,92.773.142/0001-00,Outras Organizações,Outros,0,86,0,86,2196,2196,0,ASCAR                                              ,1000 ou Mais,43 - Rio Grande do S
21976459000103,2017,95.885.000,10333,Fabricação de Sucos,21.976.459/0001-03,Sociedade Qt Ltda,Microempresa,0,0,0,0,0,0,0,SUCOS IRMAOS RABAIOLI LTDA ME                     ,0 Empregado,43 - Rio Grande do S
73698367000102,2017,98.960.000,1628,Atividades de Apoio,73.698.367/0001-02,Cooperativa,Outros,0,0,0,0,26,26,0,COOPERATIVA DOS AGRICULTORES DE SANTO CRISTO LTDA  ,De 20 a 49,43 - Rio Grande do S
04983476000140,2017,96.010.140,46338,Comércio Atacadista,04.983.476/0001-40,Cooperativa,Outros,0,0,0,0,7,7,0,COOPSUL ECOLOGICA AGRICFAMILLTDA                ,De 5 a 9,43 - Rio Grande do S
09499014000176,2017,96.148.000,47296,Comércio Varejista d,09.499.014/0001-76,Cooperativa,Outros,0,0,0,0,3,3,0,COOP ATIV INDARTAGRICFAMTURUCU               ,De 1 a 4,43 - Rio Grande do S
15159381000123,2017,96.155.000,46338,Comércio Atacadista,15.159.381/0001-23,Cooperativa,Outros,0,0,0,0,0,0,0,COOP AGROPEC DE ARROIO DO PADRE COOPAP             ,0 Empregado,43 - Rio Grande do S
08394739000137,2017,97.200.000,94308,Atividades de Associ,08.394.739/0001-37,Cooperativa,Outros,0,0,0,0,0,0,0,COOPDA AGRICFAMILIAR DE RESTINGA SECA            ,0 Empregado,43 - Rio Grande do S
89305239000507,2017,95.940.000,10520,Fabricação de Laticí,89.305.239/0005-07,Cooperativa,Outros,8,2,0,2,173,173,0,COOP DOS SUINOCULTORES DE ENCANTADO LTDA           ,De 100 a 249,43 - Rio Grande do S
94890266000109,2017,96.170.000,1610,Atividades de Apoio,94.890.266/0001-09,Cooperativa,Outros,0,0,0,0,47,47,0,COOPERATIVA MISTA DOS PEQUENOS AGRICULTORES DA REGIA,De 20 a 49,43 - Rio Grande do S
07485034000162,2017,96.170.000,10996,Fabricação de Produt,07.485.034/0001-62,Firma Mercantil Indi,Microempresa,0,0,0,0,0,0,0,MIRIAN ROZANE BRITTO DA COSTA                      ,0 Empregado,43 - Rio Grande do S
14789447000104,2017,97.195.000,10333,Fabricação de Sucos,14.789.447/0001-04,Sociedade Qt Ltda,Microempresa,0,0,0,0,0,0,0,TORRI & TORRI LTDA ME                              ,0 Empregado,43 - Rio Grande do S
09341805000173,2017,97.250.000,94308,Atividades de Associ,09.341.805/0001-73,Outras Organizações,Outros,0,0,0,0,0,0,0,ASSOCIACAO REMANESCENTE QUILOMBO VOVO ISABEL       ,0 Empregado,43 - Rio Grande do S
11396328000195,2017,96.600.000,46231,Comércio Atacadista,11.396.328/0001-95,Cooperativa,Outros,0,0,0,0,8,8,0,COOPERATIVA UNIAO DOS AGRICULTORES FAMIL           ,De 5 a 9,43 - Rio Grande do S
11185973000169,2017,96.816.330,1610,Atividades de Apoio,11.185.973/0001-69,Cooperativa,Outros,0,0,0,0,2,2,0,COOPERATIVA REGIONAL DE ALIMENTOS SANTA            ,De 1 a 4,43 - Rio Grande do S
17821228000145,2017,96.880.000,46338,Comércio Atacadista,17.821.228/0001-45,Cooperativa,Outros,0,0,0,0,0,0,0,COOP MISTA AGRIC FAMILIARES DE VERA CRUZ COOPERVEC ,0 Empregado,43 - Rio Grande do S
89774160000100,2017,95.890.000,10121,"Abate de Suínos, Ave",89.774.160/0001-00,Cooperativa,Outros,3,3,0,3,89,89,0,COOPERATIVA LANGUIRU LTDA                          ,De 50 a 99,43 - Rio Grande do S
88587357002455,2017,95.335.000,47113,Comércio Varejista d,88.587.357/0024-55,Cooperativa,Outros,1,1,0,1,15,15,0,COOPERATIVA SANTA CLARA LTDA                       ,De 10 a 19,43 - Rio Grande do S
27520930000122,,,,,,,,,,,,,,,,,
10264853000194,2017,99.220.000,10333,Fabricação de Sucos,10.264.853/0001-94,Sociedade Qt Ltda,Microempresa,0,0,0,0,1,1,0,FABIO BAGGIO & CIA LTDA                            ,De 1 a 4,43 - Rio Grande do S
06101295000179,2017,95.185.000,10317,Fabricação de Conser,06.101.295/0001-79,Firma Mercantil Indi,Microempresa,0,0,0,0,0,0,0,F FOPPA AGROINDUSTRIA E SERVICOS  ME               ,0 Empregado,43 - Rio Grande do S
05047086000121,2017,99.709.436,47121,Comércio Varejista d,05.047.086/0001-21,Cooperativa,Outros,0,0,0,0,8,8,0,COOPERATIVA DE PRODUCAO E CONSUMO FAMILIAR NOSSA TER,De 5 a 9,43 - Rio Grande do S
14034692000101,2017,98.500.000,10333,Fabricação de Sucos,14.034.692/0001-01,Firma Mercantil Indi,Microempresa,0,0,0,0,0,0,0,LEILA TERESINHA SESTARI GUERRA                     ,0 Empregado,43 - Rio Grande do S
90049156000150,2017,95.720.000,11127,Fabricação de Vinho,90.049.156/0001-50,Cooperativa,Outros,9,4,0,4,180,180,0,COOPERATIVA VINICOLA GARIBALDI LTDA                ,De 100 a 249,43 - Rio Grande do S
